NAME,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,AVERAGE,WEIGHTED_AVERAGE
"EL TROMPILLO, BL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,18,8,,,,,,,,,,11.333333333333334,12.732620320855615
"SAN JOSE, BL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,2.5,2.4847560975609757
"ROBORE CIV MIL, BL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,4.0,3.805755395683453
"TTE DE AV SALVADOR OGAYA G, BL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,4.5,4.642857142857143
"SANTA ROSA, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0,0,12,36,,11.0,20.681707317073172
"UTIRIK ATOLL MARSHALL IS., RM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0,0.0
"KAPINGAMARANGI ATOLL CAROLINE IS., FM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2.0,2.0
"HOBART, AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,4,0,5,3,2,2,3,0,3,4,2.8333333333333335,2.857041082878176
"TAPPAHANNOCK ESSEX CO AIRPORT, VA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,,,2.0,3.9859154929577465
"MAIMUN SALEH, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,32,35,27,14,,,,,,,,27.6,28.904850746268657
"POLONIA, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,15,36,16,,,,,14.8,22.492537313432837
"HASANUDDIN, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,7,,0,,,,,3.5,5.037313432835821
"HUNTSVILLE INTNL AIRPORT, AL US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,42,46,48,36,46,32,31,34,26,25,35.666666666666664,37.670292482475226
"MAYNARD, MA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,7,10,21,25,18,18,14,13,13,21,13.833333333333334,14.751764419566804
