NAME,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,AVERAGE,WEIGHTED_AVERAGE
"STENSHUVUD AND, SW",6,2,1,,,,,,,,3.0,3.6282245827010624
"RONNEBY, SW",6.0,7.0,7.0,6.0,9.0,5.0,5.0,5.0,7.0,3.0,6.0,6.001094990418834
"UNGSKAR, SW",3.0,2.0,10.0,5.0,14.0,10.0,7.0,5.0,12.0,6.0,7.4,7.401861483712017
"KALMAR, SW",8.0,6.0,9.0,4.0,13.0,7.0,3.0,5.0,6.0,5.0,6.6,6.602465753424657
"HOBURG, SW",7.0,7.0,5.0,7.0,11.0,8.0,5.0,4.0,12.0,4.0,7.0,7.00328587075575
"ENONTEKIO KILPISJARVI, FI",5.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,1.6,1.598846787479407
"UTSJOKI KEVO, FI",7.0,7.0,6.0,5.0,5.0,4.0,2.0,2.0,5.0,1.0,4.4,4.410433342533811
"IVALO, FI",11.0,4.0,5.0,0.0,3.0,2.0,4.0,0.0,6.0,3.0,3.8,3.8014301430143016
"MUONIO ALAMUONIO, FI",9.0,6.0,5.0,6.0,4.0,3.0,2.0,3.0,7.0,7.0,5.2,5.1987125664707525
"SODANKYLA, FI",8.0,6.0,6.0,3.0,11.0,5.0,8.0,4.0,8.0,3.0,6.2,6.18289983397897
"PELLO CENTRE, FI",6.0,2.0,4.0,1.0,8.0,5.0,6.0,5.0,11.0,9.0,5.7,5.701754385964913
"ROVANIEMI, FI",2.0,4.0,4.0,3.0,16.0,5.0,4.0,4.0,8.0,8.0,5.8,5.81078107810781
"SALLA, FI",7.0,2.0,2.0,4.0,9.0,4.0,2.0,3.0,2.0,2.0,3.7,3.7018888584724885
"KEMI TORNIO, FI",8.0,6.0,3.0,3.0,8.0,8.0,2.0,4.0,7.0,5.0,5.4,5.417766776677667
"PUDASJARVI, FI",5.0,9.0,1.0,4.0,10.0,7.0,4.0,4.0,7.0,5.0,5.6,5.601423487544484
"KUUSAMO, FI",5.0,7.0,4.0,5.0,5.0,1.0,2.0,3.0,8.0,11.0,5.1,5.099698712681457
"HAILUOTO ISLAND, FI",6.0,2.0,2.0,6.0,2.0,2.0,2.0,3.0,4.0,3.0,3.2,3.2013183191430925
"OULU, FI",6.0,7.0,8.0,6.0,7.0,9.0,3.0,2.0,5.0,8.0,6.1,6.115268225584594
